topic_id,topic_name,size
-1,-1_deal_hon_house_right,36457
0,0_nhs_hospital_care_health,1521
1,1_rail_trains_transport_network,1106
2,2_schools_school_pupils_funding,1032
3,3_order_speaker_mr_point,1007
4,4_housing_homes_rough_sleeping,778
5,5_police_crime_knife_officers,762
6,6_prison_prisons_probation_sentences,761
7,7_brexit_vote_referendum_deal,640
8,8_armed_forces_veterans_personnel,569
9,9_ireland_northern_assembly_stormont,565
10,10_climate_emissions_change_carbon,561
11,11_animals_animal_dogs_dog,560
12,12_fire_grenfell_cladding_buildings,469
13,13_universal_credit_claimants_legacy,469
14,14_colleges_college_apprenticeships_education,453
15,15_saudi_yemen_arabia_arms,402
16,16_border_ireland_northern_irish,369
17,17_pip_disabled_disability_assessments,367
18,18_iran_iranian_nazanin_irans,347
19,19_speaker_member_parliament_house,314
20,20_domestic_abuse_victims_violence,291
21,21_trade_wto_agreements_customs,280
22,22_councils_council_local_cuts,264
23,23_give_way_minister_ministernot,242
24,24_fishing_fisheries_fish_fishermen,237
25,25_give_gentleman_way_hon,234
26,26_hong_kong_china_extradition,215
27,27_turkey_daesh_iraq_syria,214
28,28_childcare_childrens_children_early,214
29,29_islamophobia_muslim_muslims_definition,208
30,30_leaseholders_leasehold_rent_freehold,206
31,31_plastic_waste_packaging_plastics,204
32,32_students_universities_student_erasmus,201
33,33_post_offices_office_postmasters,196
34,34_online_harms_media_white,193
35,35_steel_industry_scunthorpe_british,192
36,36_bbc_tv_licence_licences,189
37,37_slavery_modern_trafficking_detention,187
38,38_scotland_scottish_independence_referendum,187
39,39_water_flood_flooding_rivers,183
40,40_farmers_farming_agriculture_food,182
41,41_pleasure_chairmanship_debate_serve,181
42,42_football_fans_clubs_players,180
43,43_lady_give_way_hon,179
44,44_citizens_eu_scheme_status,173
45,45_electoral_voter_id_commission,173
46,46_mental_health_ill_workplace,170
47,47_church_priests_tier_churches,170
48,48_branch_cash_bank_banking,169
49,49_extension_article_50_european,167
50,50_nissan_manufacturing_honda_automotive,165
51,51_holocaust_jewish_antisemitism_antisemitic,165
52,52_carrier_shipbuilding_aircraft_ships,164
53,53_kashmir_pakistan_india_indian,162
54,54_bus_buses_drivers_transport,162
55,55_hmrc_loan_charge_tax,161
56,56_welsh_wales_assembly_language,157
57,57_cannabis_medicinal_medical_prescription,157
58,58_youth_young_ncs_fulltime,157
59,59_constituency_gentleman_project_friend,156
60,60_leader_queens_speaker_house,153
61,61_kim_ambassador_foreign_darroch,151
62,62_cancer_breast_diagnosis_cancers,150
63,63_abortion_ireland_northern_abortions,148
64,64_seaborne_contract_freight_ferry,144
65,65_parents_sex_relationships_taught,143
66,66_venezuela_maduro_venezuelan_guaida³,143
67,67_autism_autistic_learning_spectrum,141
68,68_backstop_alternative_arrangements_agreement,140
69,69_supreme_court_judgment_attorney,135
70,70_air_pollution_quality_clean,132
71,71_pension_pensions_dashboard_pensioners,132
72,72_order_speaker_mr_point,130
73,73_give_way_friend_hon,125
74,74_gentleman_gentlemans_answer_refer,125
75,75_deal_european_leave_union,120
76,76_elections_electoral_citizens_uc1,120
77,77_pubs_beer_pub_brewers,114
78,78_nan_mac_donald_,114
79,79_departmental_responsibilities_statement_make,112
80,80_case_cases_happy_details,110
81,81_broadband_mobile_coverage_rural,106
82,82_christians_persecution_christian_persecuted,104
83,83_gaza_israel_hamas_palestinian,103
84,84_poverty_child_children_twochild,101
85,85_give_gentleman_way_right,100
86,86_give_way_member_normanton,99
87,87_farmers_lamb_sheep_tariffs,96
88,88_mental_health_young_children,94
89,89_cycling_walking_cycle_bike,93
90,90_electric_vehicles_charging_cars,93
91,91_im_invited_moved_finish,92
