topic_id,topic_name,cv_score,coherence_calculation_time,size,top_words,word_weights
-1,-1_hon_deal_house_government,0.0,0.0,3973,"hon, deal, house, government, right, would, people, friend, eu, european","0.007, 0.006, 0.006, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005"
0,0_deal_brexit_prime_referendum,0.7146692285011349,52.30392622947693,257,"deal, brexit, prime, referendum, eu, vote, country, voted, us, leave","0.011, 0.011, 0.010, 0.009, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008"
1,1_rail_transport_network_trains,0.8787719520013058,51.66719722747803,237,"rail, transport, network, trains, investment, line, passengers, railway, train, electrification","0.040, 0.022, 0.020, 0.019, 0.015, 0.015, 0.014, 0.012, 0.010, 0.010"
2,2_credit_universal_legacy_claimants,0.6215019241031758,53.63345789909363,193,"credit, universal, legacy, claimants, migration, benefits, rollout, managed, system, work","0.090, 0.090, 0.024, 0.024, 0.024, 0.023, 0.022, 0.019, 0.017, 0.015"
3,3_order_speaker_mr_point,0.5414613068902013,54.77245807647705,168,"order, speaker, mr, point, motion, house, deputy, madam, business, whether","0.059, 0.058, 0.041, 0.032, 0.023, 0.023, 0.013, 0.013, 0.013, 0.012"
4,4_nhs_health_plan_care,0.6068386577867401,54.028199434280396,159,"nhs, health, plan, care, hospital, nurses, longterm, gps, secretary, state","0.052, 0.028, 0.027, 0.023, 0.020, 0.019, 0.019, 0.016, 0.015, 0.013"
5,5_referendum_vote_voted_brexit,0.632719906999744,54.381098985672,133,"referendum, vote, voted, brexit, 2016, deliver, second, leave, result, election","0.048, 0.025, 0.023, 0.021, 0.021, 0.021, 0.020, 0.019, 0.018, 0.013"
6,6_schools_nursery_maintained_funding,0.7816066456175282,53.78748440742493,131,"schools, nursery, maintained, funding, school, children, teachers, early, nurseries, education","0.053, 0.047, 0.032, 0.028, 0.022, 0.019, 0.016, 0.015, 0.015, 0.013"
7,7_prime_minister_house_deal,0.5641716260629114,54.09379506111145,114,"prime, minister, house, deal, red, defeat, lines, vote, votes, ministers","0.038, 0.023, 0.019, 0.017, 0.015, 0.015, 0.015, 0.013, 0.011, 0.010"
8,8_withdrawal_agreement_european_deal,0.7019500088936469,54.70085787773132,110,"withdrawal, agreement, european, deal, legal, union, leave, assurances, certainty, eu","0.033, 0.030, 0.028, 0.028, 0.025, 0.023, 0.015, 0.014, 0.014, 0.013"
9,9_trade_agreements_customs_union,0.7569058416267924,53.76682114601135,108,"trade, agreements, customs, union, free, trading, eu, deals, world, countries","0.071, 0.026, 0.025, 0.024, 0.023, 0.021, 0.021, 0.020, 0.018, 0.017"
10,10_yes_briefly_answer_youre,0.18340938904705614,53.15756630897522,106,"yes, briefly, answer, youre, didnt, question, course, finishedi, brieflybe, indeedwell","0.177, 0.160, 0.077, 0.064, 0.059, 0.058, 0.052, 0.048, 0.048, 0.048"
11,11_fire_cladding_buildings_building,0.8827312270800391,52.13012957572937,99,"fire, cladding, buildings, building, grenfell, safety, safe, blocks, combustible, flammable","0.057, 0.048, 0.047, 0.027, 0.026, 0.025, 0.023, 0.020, 0.018, 0.016"
12,12_post_office_offices_crown,0.6748716529944226,50.38875484466553,95,"post, office, offices, crown, whsmith, franchising, staff, service, high, services","0.097, 0.059, 0.045, 0.032, 0.025, 0.019, 0.017, 0.016, 0.015, 0.015"
13,13_animal_farmers_food_agriculture,0.769240765166871,51.6259241104126,79,"animal, farmers, food, agriculture, agricultural, welfare, standards, tariffs, farming, exports","0.054, 0.053, 0.043, 0.034, 0.029, 0.028, 0.028, 0.025, 0.024, 0.024"
14,14_venezuela_maduro_venezuelan_colombia,0.8489099146923008,52.841721296310425,77,"venezuela, maduro, venezuelan, colombia, guaida³, president, elections, crisis, juan, regime","0.071, 0.036, 0.031, 0.021, 0.021, 0.018, 0.017, 0.017, 0.017, 0.017"
15,15_scotland_scottish_snp_independence,0.6651596032380251,52.07892918586731,71,"scotland, scottish, snp, independence, kingdom, scotlands, united, prime, referendum, 2014","0.056, 0.034, 0.018, 0.018, 0.017, 0.017, 0.015, 0.015, 0.013, 0.013"
16,16_backstop_agreement_ireland_withdrawal,0.694279680589101,53.569268465042114,67,"backstop, agreement, ireland, withdrawal, northern, border, would, protocol, hard, eu","0.098, 0.036, 0.032, 0.029, 0.025, 0.020, 0.015, 0.015, 0.015, 0.014"
17,17_football_club_clubs_league,0.8387017535467038,52.927889823913574,65,"football, club, clubs, league, fans, coventry, grassroots, premier, sport, newcastle","0.085, 0.050, 0.043, 0.036, 0.034, 0.029, 0.027, 0.024, 0.023, 0.023"
18,18_northern_ireland_psni_secretary,0.5540654571860548,54.07621955871582,64,"northern, ireland, psni, secretary, city, attack, state, devolved, derry, police","0.059, 0.057, 0.025, 0.022, 0.022, 0.020, 0.019, 0.019, 0.019, 0.017"
19,19_colleges_college_education_students,0.8231853756558424,49.9094295501709,64,"colleges, college, education, students, funding, fe, skills, sixth, sixthform, 16","0.054, 0.049, 0.045, 0.031, 0.022, 0.017, 0.015, 0.015, 0.014, 0.013"
