topic_id,cv_score,size,top_words,word_weights
-1,0.0,41656,"the, to, that, of, and, in, we, is, will, for","0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002"
0,0.7549871091626397,2216,"housing, homes, homelessness, rent, affordable, local, accommodation, building, planning, buy","0.017, 0.010, 0.006, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004"
1,0.7857689495588739,1237,"schools, school, funding, formula, pupil, education, pupils, teachers, children, per","0.027, 0.018, 0.015, 0.013, 0.010, 0.009, 0.009, 0.008, 0.006, 0.006"
2,0.3334830580760147,1132,"ireland, northern, border, irish, executive, agreement, fã, sinn, parties, republic","0.028, 0.024, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.006, 0.006"
3,0.5983204863429203,964,"universal, credit, roll, claimants, system, arrears, work, payments, uc, payment","0.031, 0.029, 0.009, 0.009, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006"
4,0.4930964861822852,851,"disabled, pip, disability, disabilities, hearing, deaf, people, work, assessments, health","0.016, 0.014, 0.012, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006"
5,0.44246088463375,825,"trade, free, union, customs, commonwealth, countries, european, eu, market, agreements","0.030, 0.012, 0.010, 0.009, 0.009, 0.008, 0.007, 0.007, 0.007, 0.007"
6,0.812693668042647,772,"vehicles, electric, driving, vehicle, air, cars, road, charging, drivers, car","0.017, 0.011, 0.010, 0.009, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007"
7,0.8680492375222398,741,"prison, prisons, prisoners, officers, offenders, justice, governors, rehabilitation, reoffending, probation","0.038, 0.024, 0.016, 0.010, 0.008, 0.006, 0.006, 0.006, 0.006, 0.005"
8,0.671986614914693,725,"pension, women, pensions, waspi, age, retirement, pensioners, master, state, 1950s","0.026, 0.015, 0.013, 0.011, 0.010, 0.008, 0.007, 0.007, 0.006, 0.005"
9,0.7188465060056962,665,"israel, palestinian, peace, israeli, settlements, palestinians, palestine, balfour, solution, gaza","0.032, 0.021, 0.017, 0.017, 0.015, 0.014, 0.011, 0.009, 0.008, 0.008"
10,0.5890073444401964,639,"energy, ccs, carbon, fuel, customers, storage, tidal, capture, poverty, price","0.025, 0.012, 0.012, 0.011, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006"
11,0.8897842553789235,575,"broadband, fibre, superfast, rural, digital, speeds, megabits, connectivity, bt, speed","0.036, 0.016, 0.015, 0.010, 0.009, 0.008, 0.008, 0.007, 0.007, 0.007"
12,0.5821623239053667,561,"debt, chancellor, budget, economy, growth, deficit, fiscal, economic, productivity, obr","0.011, 0.010, 0.009, 0.009, 0.008, 0.007, 0.006, 0.006, 0.006, 0.005"
13,0.3536820510599377,547,"scottish, scotland, snp, devolved, referendum, powers, independence, devolution, parliament, kingdom","0.019, 0.018, 0.011, 0.009, 0.009, 0.009, 0.008, 0.007, 0.006, 0.006"
14,0.7549147203046911,538,"yemen, saudi, humanitarian, arabia, conflict, un, arms, houthis, coalition, aid","0.033, 0.023, 0.016, 0.015, 0.011, 0.009, 0.009, 0.008, 0.008, 0.007"
15,0.2884915711046465,516,"fire, tower, grenfell, cladding, blocks, safety, buildings, inquiry, sprinklers, building","0.026, 0.019, 0.017, 0.014, 0.012, 0.011, 0.010, 0.008, 0.008, 0.008"
16,0.6964065018597001,483,"police, policing, crime, officers, forces, force, funding, bedfordshire, cuts, resources","0.042, 0.020, 0.020, 0.015, 0.008, 0.007, 0.006, 0.006, 0.005, 0.005"
17,0.8307332235037033,444,"rail, trains, passengers, train, network, southern, line, railway, franchise, gtr","0.023, 0.015, 0.013, 0.013, 0.009, 0.009, 0.009, 0.008, 0.007, 0.006"
18,0.24373861991371656,438,"give, gentleman, way, hon, will, the, admonishment, satanâ, misjudged, excite","0.223, 0.193, 0.174, 0.061, 0.044, 0.006, 0.003, 0.003, 0.003, 0.003"
19,0.7503169066354443,373,"abuse, media, online, hate, internet, social, harassment, twitter, facebook, intimidation","0.016, 0.012, 0.010, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006"
20,0.8757132388375288,361,"children, dubs, refugees, unaccompanied, calais, greece, refugee, dublin, italy, asylum","0.022, 0.017, 0.014, 0.014, 0.011, 0.011, 0.010, 0.010, 0.008, 0.008"
21,0.8052414003555064,342,"apprenticeships, apprentices, apprenticeship, education, technical, careers, skills, young, colleges, employers","0.030, 0.020, 0.017, 0.013, 0.013, 0.012, 0.012, 0.008, 0.007, 0.006"
